"Name","Compare","Pos","Team","GP","G","A","+/-","PIM","PPP","SOG","Hits","Blocks","HIT+BKS","SOG+HIT+BKS","G","A","+/-","PIM","PPP","SOG","Hits","Blocks","HIT+BKS","SOG+HIT+BKS"
"CONNOR MCDAVID","","C","EDM","82","64","89","22","36","71","351","89","40","129","480","0.78","1.09","0.27","0.44","0.87","4.28","1.09","0.49","1.57","5.85"
"DAVID PASTRNAK","","R","BOS","82","61","52","34","38","37","407","91","33","124","531","0.74","0.63","0.41","0.46","0.45","4.96","1.11","0.40","1.51","6.48"
"MIKKO RANTANEN","","R","COL","82","55","50","15","82","37","306","77","41","118","424","0.67","0.61","0.18","1.00","0.45","3.73","0.94","0.50","1.44","5.17"
"LEON DRAISAITL","","C","EDM","80","52","76","7","24","62","247","66","40","106","353","0.65","0.95","0.09","0.30","0.78","3.09","0.83","0.50","1.33","4.41"
"BRAYDEN POINT","","C","T.B","82","51","44","2","7","30","235","37","37","74","309","0.62","0.54","0.02","0.09","0.37","2.87","0.45","0.45","0.90","3.77"
"TAGE THOMPSON","","C","BUF","78","47","47","4","39","34","297","55","26","81","378","0.60","0.60","0.05","0.50","0.44","3.81","0.71","0.33","1.04","4.85"
"JASON ROBERTSON","","L","DAL","82","46","63","37","20","41","313","57","19","76","389","0.56","0.77","0.45","0.24","0.50","3.82","0.70","0.23","0.93","4.74"
"JACK HUGHES","","C","N.J","78","43","56","11","6","31","336","12","30","42","378","0.55","0.72","0.14","0.08","0.40","4.31","0.15","0.38","0.54","4.85"
"NATHAN MACKINNON","","C","COL","71","42","69","28","30","34","366","53","40","93","459","0.59","0.97","0.39","0.42","0.48","5.15","0.75","0.56","1.31","6.46"
"ALEX OVECHKIN","","L","WSH","73","42","33","-16","48","25","294","188","23","211","505","0.58","0.45","-0.22","0.66","0.34","4.03","2.58","0.32","2.89","6.92"
"CARTER VERHAEGHE","","L","FLA","81","42","31","10","46","13","278","29","31","60","338","0.52","0.38","0.12","0.57","0.16","3.43","0.36","0.38","0.74","4.17"
"MARK SCHEIFELE","","C","WPG","81","42","26","-16","43","22","206","50","38","88","294","0.52","0.32","-0.20","0.53","0.27","2.54","0.62","0.47","1.09","3.63"
"ADRIAN KEMPE","","R","L.A","82","41","25","22","55","20","250","119","32","151","401","0.50","0.30","0.27","0.67","0.24","3.05","1.45","0.39","1.84","4.89"
"TIMO MEIER","","L","N.J","78","40","26","-19","43","23","326","154","37","191","517","0.51","0.33","-0.24","0.55","0.29","4.18","1.97","0.47","2.45","6.63"
"MATTHEW TKACHUK","","R","FLA","79","40","69","29","123","36","324","68","30","98","422","0.51","0.87","0.37","1.56","0.46","4.10","0.86","0.38","1.24","5.34"
"ELIAS PETTERSSON","","C","VAN","80","40","62","17","14","25","258","74","89","163","421","0.50","0.78","0.21","0.18","0.31","3.23","0.93","1.11","2.04","5.26"
"JARED MCCANN","","R","SEA","79","40","30","18","14","16","210","65","28","93","303","0.51","0.38","0.23","0.18","0.20","2.66","0.82","0.35","1.18","3.84"
"AUSTON MATTHEWS","","C","TOR","74","40","45","31","20","28","327","78","92","170","497","0.54","0.61","0.42","0.27","0.38","4.42","1.05","1.24","2.30","6.72"
"KIRILL KAPRIZOV","","L","MIN","67","40","35","4","35","32","261","66","28","94","355","0.60","0.52","0.06","0.52","0.48","3.90","0.99","0.42","1.40","5.30"
"WILLIAM NYLANDER","","R","TOR","82","40","47","10","28","28","293","18","26","44","337","0.49","0.57","0.12","0.34","0.34","3.57","0.22","0.32","0.54","4.11"
"MIKA ZIBANEJAD","","C","NYR","82","39","52","25","20","39","251","71","48","119","370","0.48","0.63","0.30","0.24","0.48","3.06","0.87","0.59","1.45","4.51"
"TIM STUTZLE","","C","OTT","78","39","51","-2","54","28","228","114","49","163","391","0.50","0.65","-0.03","0.69","0.36","2.92","1.46","0.63","2.09","5.01"
"BO HORVAT","","C","NYI","79","38","32","0","18","22","229","57","55","112","341","0.48","0.41","0.00","0.23","0.28","2.90","0.72","0.70","1.42","4.32"
